backend,sample_idx,sample_rel,feature_idx,shape,max_abs,mean_abs,p95_abs,cosine,relative_l2
trt_fp32_default,0,val/good/1_746.bmp,0,1x1024x16x16,0.0016061514616012573,5.4575197282247245e-05,0.00017296464648097754,0.999998927116394,0.001427663373760879
trt_fp32_default,0,val/good/1_746.bmp,1,1x1024x16x16,0.0042206645011901855,0.0001275344839086756,0.0003259383956901729,0.9999983906745911,0.0018056146800518036
trt_fp32_default,0,val/good/1_746.bmp,2,1x1024x16x16,0.026578903198242188,0.0004752933164127171,0.0012822563294321299,0.9999986290931702,0.0016469485126435757
trt_fp32_default,0,val/good/1_746.bmp,3,1x1024x16x16,0.20598697662353516,0.005652828142046928,0.014820262789726257,0.9999951720237732,0.0032489995937794447
trt_fp32_default,1,val/good/1_764.bmp,0,1x1024x16x16,0.001935760024935007,5.373037129174918e-05,0.00017122807912528515,0.9999990463256836,0.0014162604929879308
trt_fp32_default,1,val/good/1_764.bmp,1,1x1024x16x16,0.005877941846847534,0.00012710045848507434,0.0003244818071834743,0.9999984502792358,0.0018080807058140635
trt_fp32_default,1,val/good/1_764.bmp,2,1x1024x16x16,0.04003143310546875,0.00047288741916418076,0.001278562005609274,0.9999987483024597,0.0016420023748651147
trt_fp32_default,1,val/good/1_764.bmp,3,1x1024x16x16,0.255859375,0.006192621774971485,0.016373496502637863,0.9999940395355225,0.0035419228952378035
trt_fp32_default,2,val/good/1_768.bmp,0,1x1024x16x16,0.0015770494937896729,5.483290442498401e-05,0.0001756878336891532,0.999998927116394,0.0014333862345665693
trt_fp32_default,2,val/good/1_768.bmp,1,1x1024x16x16,0.0039694905281066895,0.00012643798254430294,0.00032408733386546373,0.9999985098838806,0.0017916028155013919
trt_fp32_default,2,val/good/1_768.bmp,2,1x1024x16x16,0.0272369384765625,0.00045208079973235726,0.0011864101979881525,0.9999988079071045,0.0015342356637120247
trt_fp32_default,2,val/good/1_768.bmp,3,1x1024x16x16,0.19066333770751953,0.005735983140766621,0.014977427199482918,0.9999951720237732,0.003207457484677434
trt_fp32_default,3,val/good/1_771.bmp,0,1x1024x16x16,0.0015850663185119629,5.3383202612167224e-05,0.00017001444939523935,0.9999990463256836,0.0014046445721760392
trt_fp32_default,3,val/good/1_771.bmp,1,1x1024x16x16,0.0024512112140655518,0.00012516271090134978,0.00032009126152843237,0.9999985694885254,0.0017612625379115343
trt_fp32_default,3,val/good/1_771.bmp,2,1x1024x16x16,0.06118011474609375,0.00044822803465649486,0.0011854972690343857,0.9999988079071045,0.0015658542979508638
trt_fp32_default,3,val/good/1_771.bmp,3,1x1024x16x16,0.2354106903076172,0.005630624946206808,0.0146045396104455,0.9999951720237732,0.003182431450113654
trt_fp32_default,4,val/good/1_784.bmp,0,1x1024x16x16,0.001593947410583496,5.553421578952111e-05,0.00017661484889686108,0.999998927116394,0.001455518533475697
trt_fp32_default,4,val/good/1_784.bmp,1,1x1024x16x16,0.003089308738708496,0.0001288156199734658,0.00032874051248654723,0.9999983906745911,0.001830464112572372
trt_fp32_default,4,val/good/1_784.bmp,2,1x1024x16x16,0.028717041015625,0.00046583646326325834,0.0012434720993041992,0.9999986886978149,0.0015909196808934212
trt_fp32_default,4,val/good/1_784.bmp,3,1x1024x16x16,0.27449703216552734,0.006225875113159418,0.016586482524871826,0.999993622303009,0.003636780194938183
trt_fp32_default,5,val/good/1_807.bmp,0,1x1024x16x16,0.0017219632863998413,5.375705222832039e-05,0.00016922358190640807,0.9999990463256836,0.001409419346600771
trt_fp32_default,5,val/good/1_807.bmp,1,1x1024x16x16,0.002232074737548828,0.00012486649211496115,0.000316512247081846,0.9999985098838806,0.0017606517067179084
trt_fp32_default,5,val/good/1_807.bmp,2,1x1024x16x16,0.028789520263671875,0.00045344646787270904,0.001205382402986288,0.9999988079071045,0.001549521810375154
trt_fp32_default,5,val/good/1_807.bmp,3,1x1024x16x16,0.17597389221191406,0.005863673519343138,0.015264085493981838,0.9999947547912598,0.0033261829521507025
