backend,sample_idx,feature_idx,shape,max_abs,mean_abs,p95_abs,cosine,relative_l2
trt_fp32,0,0,1x1024x16x16,0.0015877485275268555,9.95314767351374e-05,0.0002664579078555107,0.9999989867210388,0.0014673892874270678
trt_fp32,0,1,1x1024x16x16,0.0014294683933258057,0.00013625077554024756,0.0003413856029510498,0.9999979734420776,0.0020780940540134907
trt_fp32,0,2,1x1024x16x16,0.03391265869140625,0.0007106081466190517,0.001829338725656271,0.9999977350234985,0.002217987785115838
trt_fp32,0,3,1x1024x16x16,0.2939109802246094,0.007643023505806923,0.020081408321857452,0.9999926090240479,0.003983925562351942
trt_fp32,1,0,1x1024x16x16,0.0016262084245681763,9.836660319706425e-05,0.00026407092809677124,0.9999989867210388,0.0014611530350521207
trt_fp32,1,1,1x1024x16x16,0.0017134249210357666,0.0001351810060441494,0.00033877399982884526,0.9999980330467224,0.0020701519679278135
trt_fp32,1,2,1x1024x16x16,0.026031494140625,0.0006569395191036165,0.0016752136871218681,0.9999979734420776,0.0020456186030060053
trt_fp32,1,3,1x1024x16x16,0.2802467346191406,0.00803497713059187,0.021023713052272797,0.999992311000824,0.004171024076640606
trt_fp32,2,0,1x1024x16x16,0.0015606731176376343,9.697861241875216e-05,0.0002594641409814358,0.9999990463256836,0.0014384555397555232
trt_fp32,2,1,1x1024x16x16,0.0024678707122802734,0.00013191855396144092,0.0003309771418571472,0.9999980330467224,0.0020154332742094994
trt_fp32,2,2,1x1024x16x16,0.04071807861328125,0.0006512271356768906,0.0016649570316076279,0.9999979138374329,0.0020862568635493517
trt_fp32,2,3,1x1024x16x16,0.32733726501464844,0.00801866501569748,0.021128855645656586,0.9999921321868896,0.004193844739347696
trt_fp32,3,0,1x1024x16x16,0.0014684516936540604,9.484648035140708e-05,0.0002562615554779768,0.9999990463256836,0.001415171893313527
trt_fp32,3,1,1x1024x16x16,0.002137482166290283,0.00013241844135336578,0.0003335074579808861,0.9999979734420776,0.0020340385381132364
trt_fp32,3,2,1x1024x16x16,0.049350738525390625,0.000652291055303067,0.0016660664696246386,0.9999976754188538,0.002171990228816867
trt_fp32,3,3,1x1024x16x16,0.38576507568359375,0.008090818300843239,0.02121628075838089,0.9999921321868896,0.004186985082924366
trt_fp16,0,0,1x1024x16x16,0.012737274169921875,0.0003761978296097368,0.0009969254024326801,0.9999839067459106,0.005665146745741367
trt_fp16,0,1,1x1024x16x16,0.01951754093170166,0.0005244454368948936,0.0013109124265611172,0.9999626874923706,0.008645300753414631
trt_fp16,0,2,1x1024x16x16,0.23110198974609375,0.0022366431076079607,0.005625834688544273,0.9999713897705078,0.007584159728139639
trt_fp16,0,3,1x1024x16x16,3.676544189453125,0.02267141453921795,0.058941833674907684,0.9999222755432129,0.012518146075308323
trt_fp16,1,0,1x1024x16x16,0.01679360866546631,0.0003713890619110316,0.0009879538556560874,0.9999840259552002,0.0056448932737112045
trt_fp16,1,1,1x1024x16x16,0.02148061990737915,0.0005256684962660074,0.0013145379489287734,0.9999630451202393,0.008608853444457054
trt_fp16,1,2,1x1024x16x16,0.45029449462890625,0.0022609385196119547,0.005665726028382778,0.9999685287475586,0.007941757328808308
trt_fp16,1,3,1x1024x16x16,4.606201171875,0.024511773139238358,0.06348400563001633,0.9999082088470459,0.013553104363381863
trt_fp16,2,0,1x1024x16x16,0.015647411346435547,0.0003767618618439883,0.0010053727310150862,0.9999836683273315,0.0057509723119437695
trt_fp16,2,1,1x1024x16x16,0.02052438259124756,0.0005323680816218257,0.0013348109787330031,0.9999624490737915,0.008664729073643684
trt_fp16,2,2,1x1024x16x16,0.3478507995605469,0.0021770228631794453,0.005503026302903891,0.9999692440032959,0.007843321189284325
trt_fp16,2,3,1x1024x16x16,4.20513916015625,0.02226577326655388,0.057902298867702484,0.9999246001243591,0.012305358424782753
trt_fp16,3,0,1x1024x16x16,0.014719128608703613,0.0003731069155037403,0.0009909099899232388,0.9999837875366211,0.005693489219993353
trt_fp16,3,1,1x1024x16x16,0.022212624549865723,0.0005210345843806863,0.0013004426145926118,0.9999635815620422,0.008538030087947845
trt_fp16,3,2,1x1024x16x16,0.13292312622070312,0.002257429761812091,0.00573530700057745,0.9999687671661377,0.007940055802464485
trt_fp16,3,3,1x1024x16x16,5.275054931640625,0.02373255044221878,0.06194685027003288,0.9999123811721802,0.01324247196316719
