backend,warmup,timed,median_ms,mean_ms,p95_ms,min_ms,max_ms
pytorch,20,100,18.289361614733934,18.25748723000288,18.477337434887886,18.016419373452663,18.535560928285122
trt_fp32,20,100,7.008376531302929,7.022860245779157,7.026268262416124,6.9682402536273,8.447824977338314
trt_fp16,20,100,3.8948077708482742,3.911727061495185,3.9057052694261074,3.879023715853691,5.6151775643229485
