method,stage,status,policy,threshold,precision,recall,f1,accuracy,tp,fp,tn,fn,auc_roc,auc_pr,train_normal,train_anomaly,calib_normal,calib_anomaly,test_normal,test_anomaly,time_adpretrain_feature_ms,time_ahl_process_ms,time_total_ms,weights,reason,metrics_json
ADP-only-DINO,S7,ok,calib_best_f1,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,59,11,169,11,0.9690476190476192,0.9150818859353809,,,,,180,70,101.49195114323369,14.600844530944238,116.09707823382658,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S7/metrics/metrics.json
ADP-only-DINO,S8,ok,calib_best_f1,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,59,11,169,11,0.9690476190476192,0.9150818859353809,,,,,180,70,99.53234578368433,15.191313199101385,114.72779743252019,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S8/metrics/metrics.json
YOLO26s-eval,S0,skipped,,,,,,,,,,,,,50,0,,,180,70,,,,,YOLO supervised training requires at least one anomaly sample; S0 has none.,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S0/metrics/metrics.json
YOLO26s-eval,S1,ok,calib_best_f1_with_recall_ge_0.90,1.5784067727508955e-05,0.28112449799196787,1.0,0.438871473354232,0.284,70,179,1,0,0.8905555555555555,0.8139237761325596,100,1,100,49,180,70,,22.16688445955515,22.16688445955515,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_yolo26s_cls_fixed_180_79_stage_v3/stages/S1/ultralytics/train/weights/best.pt,,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S1/metrics/metrics.json
YOLO26s-eval,S2,ok,calib_best_f1_with_recall_ge_0.90,0.001980328233912587,0.4397163120567376,0.8857142857142857,0.5876777251184835,0.652,62,79,101,8,0.8552380952380952,0.7986952195334793,150,3,100,49,180,70,,20.248875230550766,20.248875230550766,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_yolo26s_cls_fixed_180_79_stage_v3/stages/S2/ultralytics/train/weights/best.pt,,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S2/metrics/metrics.json
YOLO26s-eval,S3,ok,calib_best_f1_with_recall_ge_0.85,0.00222780997864902,0.336734693877551,0.9428571428571428,0.4962406015037593,0.464,66,130,50,4,0.8743650793650793,0.8566468309880539,200,5,100,49,180,70,,21.695485468953848,21.695485468953848,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_yolo26s_cls_fixed_180_79_stage_v3/stages/S3/ultralytics/train/weights/best.pt,,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S3/metrics/metrics.json
YOLO26s-eval,S4,ok,calib_best_f1_with_recall_ge_0.85,0.0006768786697648466,0.52,0.9285714285714286,0.6666666666666666,0.74,65,60,120,5,0.9236507936507936,0.9022927660977198,300,10,100,49,180,70,,23.148250825703144,23.148250825703144,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_yolo26s_cls_fixed_180_79_stage_v3/stages/S4/ultralytics/train/weights/best.pt,,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S4/metrics/metrics.json
YOLO26s-eval,S5,ok,calib_best_f1_with_recall_ge_0.85,0.0016630174359306693,0.46206896551724136,0.9571428571428572,0.6232558139534884,0.676,67,78,102,3,0.936984126984127,0.9168763140109727,400,20,100,49,180,70,,22.405651696026325,22.405651696026325,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_yolo26s_cls_fixed_180_79_stage_v3/stages/S5/ultralytics/train/weights/best.pt,,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S5/metrics/metrics.json
YOLO26s-eval,S6,ok,calib_best_f1_with_recall_ge_0.85,0.022553298622369766,0.7727272727272727,0.9714285714285714,0.8607594936708862,0.912,68,20,160,2,0.9817460317460318,0.9697081593078708,420,40,100,49,180,70,,23.324354887008667,23.324354887008667,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_yolo26s_cls_fixed_180_79_stage_v3/stages/S6/ultralytics/train/weights/best.pt,,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S6/metrics/metrics.json
YOLO26s-eval,S7,ok,calib_best_f1,0.26151829957962036,0.8955223880597015,0.8571428571428571,0.8759124087591241,0.932,60,7,173,10,0.9673809523809525,0.9464235760579535,420,60,100,49,180,70,,20.369369827210903,20.369369827210903,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_yolo26s_cls_fixed_180_79_stage_v3/stages/S7/ultralytics/train/weights/best.pt,,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S7/metrics/metrics.json
YOLO26s-eval,S8,ok,calib_best_f1,0.4311862885951996,0.8985507246376812,0.8857142857142857,0.8920863309352518,0.94,62,7,173,8,0.9789682539682538,0.963753158683637,420,80,100,49,180,70,,18.791117504239082,18.791117504239082,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_yolo26s_cls_fixed_180_79_stage_v3/stages/S8/ultralytics/train/weights/best.pt,,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S8/metrics/metrics.json
