scenario,backend,phase,mean_ms,median_ms,p95_ms,max_ms
query_only_diff,cpu_pil,preprocess_total_ms,31.702796301367332,24.641106836497784,66.8224276974797,107.84727428108454
query_only_diff,cpu_pil,tensor_to_threshold_ms,34.5305399703128,28.604326769709587,92.67571214586495,106.77296947687864
query_only_diff,cpu_pil,decoded_image_to_threshold_ms,66.23333627168013,54.68789394944906,119.39408425241709,136.731986887753
query_only_diff,gpu_tensor_current,preprocess_total_ms,10.23018973290312,5.874889902770519,38.84953726083037,76.4045799151063
query_only_diff,gpu_tensor_current,tensor_to_threshold_ms,34.579207630333855,28.605636209249496,93.13633255660532,100.62917973846197
query_only_diff,gpu_tensor_current,decoded_image_to_threshold_ms,44.809397363236975,34.68828648328781,100.85254441946743,117.8521141409874
query_only_diff,gpu_tensor_torchvision_aa_true,preprocess_total_ms,6.645454610792958,5.528956651687622,8.429209701716896,72.25001230835915
query_only_diff,gpu_tensor_torchvision_aa_true,tensor_to_threshold_ms,34.34001936824346,28.604593127965927,90.10546542704104,103.7981603294611
query_only_diff,gpu_tensor_torchvision_aa_true,decoded_image_to_threshold_ms,40.98547397903642,34.11136008799076,98.15578423440455,110.19631288945675
query_only_diff,gpu_tensor_torchvision_aa_false,preprocess_total_ms,5.781163902459096,5.325488746166229,8.070753328502176,22.19076082110405
query_only_diff,gpu_tensor_torchvision_aa_false,tensor_to_threshold_ms,35.07590600650529,28.61937042325735,92.2337044030428,105.5966354906559
query_only_diff,gpu_tensor_torchvision_aa_false,decoded_image_to_threshold_ms,40.85706990896439,33.96466746926308,99.38598293811081,113.15330117940903
ref_and_query_diff,cpu_pil,preprocess_total_ms,31.702796301367332,24.641106836497784,66.8224276974797,107.84727428108454
ref_and_query_diff,cpu_pil,tensor_to_threshold_ms,34.63310721729483,28.57447974383831,91.743060387671,102.07629948854446
ref_and_query_diff,cpu_pil,decoded_image_to_threshold_ms,66.33590351866216,54.86667528748512,119.75693143904209,136.51676382869482
ref_and_query_diff,gpu_tensor_current,preprocess_total_ms,10.23018973290312,5.874889902770519,38.84953726083037,76.4045799151063
ref_and_query_diff,gpu_tensor_current,tensor_to_threshold_ms,33.30386489705772,28.628033585846424,90.7264733687043,101.5610620379448
ref_and_query_diff,gpu_tensor_current,decoded_image_to_threshold_ms,43.53405462996084,34.67639908194542,99.04661551117897,109.73704885691404
ref_and_query_diff,gpu_tensor_torchvision_aa_true,preprocess_total_ms,6.645454610792958,5.528956651687622,8.429209701716896,72.25001230835915
ref_and_query_diff,gpu_tensor_torchvision_aa_true,tensor_to_threshold_ms,35.42784066224585,28.578144498169422,91.90896358340977,102.74484474211931
ref_and_query_diff,gpu_tensor_torchvision_aa_true,decoded_image_to_threshold_ms,42.07329527303881,34.08748656511307,100.44218152761458,110.29514018446207
ref_and_query_diff,gpu_tensor_torchvision_aa_false,preprocess_total_ms,5.781163902459096,5.325488746166229,8.070753328502176,22.19076082110405
ref_and_query_diff,gpu_tensor_torchvision_aa_false,tensor_to_threshold_ms,33.58613751372513,28.619318269193172,91.68945364654061,101.73611715435982
ref_and_query_diff,gpu_tensor_torchvision_aa_false,decoded_image_to_threshold_ms,39.36730141618422,33.91103073954582,97.4841997027397,114.09272626042366
