scenario,backend,threshold_mode,threshold,accuracy,precision,recall,f1,auc_roc,auc_pr,tp,fp,tn,fn,pred_changed_all_count,pred_changed_test_count,score_abs_diff_median,score_abs_diff_p95,score_abs_diff_max,fixed_f1_gap_vs_cpu,fixed_recall_gap_vs_cpu,preprocess_total_median_ms,cpu_preprocess_total_median_ms,preprocess_faster_than_cpu,meets_acceptance,tensor_max_abs_diff_median,tensor_mean_abs_diff_median,tensor_p95_abs_diff_median,tensor_p99_abs_diff_median,tensor_max_abs_diff_p95,tensor_mean_abs_diff_p95,tensor_p95_abs_diff_p95,tensor_p99_abs_diff_p95
query_only_diff,cpu_pil,fixed_cpu_threshold,0.5757039785385132,0.916,0.9152542372881356,0.7714285714285715,0.8372093023255813,0.9611904761904763,0.9166898936093516,54,5,175,16,0,0,0.0,0.0,0.0,0.0,0.0,24.641106836497784,24.641106836497784,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_only_diff,cpu_pil,backend_calibrated,0.5757039785385132,0.916,0.9152542372881356,0.7714285714285715,0.8372093023255813,0.9611904761904763,0.9166898936093516,54,5,175,16,0,0,0.0,0.0,0.0,0.0,0.0,24.641106836497784,24.641106836497784,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_only_diff,gpu_tensor_current,fixed_cpu_threshold,0.5757039785385132,0.928,0.9482758620689655,0.7857142857142857,0.859375,0.963968253968254,0.9132883395884922,55,3,177,15,11,5,0.0121842622756958,0.04081547409296035,0.09214010834693909,0.022165697674418672,0.014285714285714235,5.874889902770519,24.641106836497784,1,0,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
query_only_diff,gpu_tensor_current,backend_calibrated,0.5656757354736328,0.92,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.963968253968254,0.9132883395884922,55,5,175,15,11,5,0.0121842622756958,0.04081547409296035,0.09214010834693909,0.022165697674418672,0.014285714285714235,5.874889902770519,24.641106836497784,1,,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
query_only_diff,gpu_tensor_torchvision_aa_true,fixed_cpu_threshold,0.5757039785385132,0.928,0.9482758620689655,0.7857142857142857,0.859375,0.963968253968254,0.9132883395884922,55,3,177,15,11,5,0.0121842622756958,0.04081547409296035,0.09214010834693909,0.022165697674418672,0.014285714285714235,5.528956651687622,24.641106836497784,1,0,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
query_only_diff,gpu_tensor_torchvision_aa_true,backend_calibrated,0.5656757354736328,0.92,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.963968253968254,0.9132883395884922,55,5,175,15,11,5,0.0121842622756958,0.04081547409296035,0.09214010834693909,0.022165697674418672,0.014285714285714235,5.528956651687622,24.641106836497784,1,,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
query_only_diff,gpu_tensor_torchvision_aa_false,fixed_cpu_threshold,0.5757039785385132,0.904,0.9423076923076923,0.7,0.8032786885245902,0.9530158730158731,0.8893575107807833,49,3,177,21,22,9,0.02238348126411438,0.08112078607082365,0.2215922474861145,0.03393061380099116,0.07142857142857151,5.325488746166229,24.641106836497784,1,0,1.6399273872375488,0.014817886985838413,0.051405616104602814,0.25732719898223877,2.443328070640564,0.019140969589352595,0.06991168484091759,0.33443231880664803
query_only_diff,gpu_tensor_torchvision_aa_false,backend_calibrated,0.57345050573349,0.908,0.9433962264150944,0.7142857142857143,0.8130081300813008,0.9530158730158731,0.8893575107807833,50,3,177,20,22,9,0.02238348126411438,0.08112078607082365,0.2215922474861145,0.03393061380099116,0.07142857142857151,5.325488746166229,24.641106836497784,1,,1.6399273872375488,0.014817886985838413,0.051405616104602814,0.25732719898223877,2.443328070640564,0.019140969589352595,0.06991168484091759,0.33443231880664803
ref_and_query_diff,cpu_pil,fixed_cpu_threshold,0.5757039785385132,0.916,0.9152542372881356,0.7714285714285715,0.8372093023255813,0.9611904761904763,0.9166898936093516,54,5,175,16,0,0,0.0,0.0,0.0,0.0,0.0,24.641106836497784,24.641106836497784,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ref_and_query_diff,cpu_pil,backend_calibrated,0.5757039785385132,0.916,0.9152542372881356,0.7714285714285715,0.8372093023255813,0.9611904761904763,0.9166898936093516,54,5,175,16,0,0,0.0,0.0,0.0,0.0,0.0,24.641106836497784,24.641106836497784,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
