scenario,backend,phase,mean_ms,median_ms,p95_ms,max_ms
query_only_diff,cpu_pil,preprocess_total_ms,41.02526641621881,19.38375737518072,104.69605755060911,110.72559282183647
query_only_diff,cpu_pil,tensor_to_threshold_ms,33.642148363346955,28.726281598210335,107.36484955996274,117.11508873850107
query_only_diff,cpu_pil,decoded_image_to_threshold_ms,74.66741477956577,48.34946896880865,133.7068920955062,139.56038746982813
query_only_diff,gpu_tensor_current,preprocess_total_ms,21.442759823890366,5.724359303712845,79.61537037044762,84.19253956526518
query_only_diff,gpu_tensor_current,tensor_to_threshold_ms,34.78479836212129,28.685955330729485,108.07147324085233,114.58473652601242
query_only_diff,gpu_tensor_current,decoded_image_to_threshold_ms,56.227558186011656,35.36083456128836,114.3019903451204,120.33148854970932
query_only_diff,gpu_tensor_torchvision_aa_true,preprocess_total_ms,11.259213200181115,5.469623953104019,73.9695392549038,84.57718137651682
query_only_diff,gpu_tensor_torchvision_aa_true,tensor_to_threshold_ms,34.8766386813047,28.729231096804142,108.90295132994652,113.34241647273302
query_only_diff,gpu_tensor_torchvision_aa_true,decoded_image_to_threshold_ms,46.13585188148581,34.356459975242615,113.83566465228796,119.66705415397882
query_only_diff,gpu_tensor_torchvision_aa_false,preprocess_total_ms,9.371707478196036,5.012513138353825,52.83257998526009,89.90572951734066
query_only_diff,gpu_tensor_torchvision_aa_false,tensor_to_threshold_ms,34.10715772865378,28.709976002573967,108.4152989089489,115.49431830644608
query_only_diff,gpu_tensor_torchvision_aa_false,decoded_image_to_threshold_ms,43.47886520684982,33.6993308737874,116.70508105307816,123.11777658760548
query_only_diff,gpu_tensor_uint8_aa_true,preprocess_total_ms,9.460236451455525,4.923513159155846,62.41953819990157,135.9905879944563
query_only_diff,gpu_tensor_uint8_aa_true,tensor_to_threshold_ms,35.49775390372593,28.714627027511597,108.10018163174391,113.94609976559877
query_only_diff,gpu_tensor_uint8_aa_true,decoded_image_to_threshold_ms,44.95799035518145,33.620142377913,113.4577415883541,246.02350406348705
ref_and_query_diff,cpu_pil,preprocess_total_ms,41.02526641621881,19.38375737518072,104.69605755060911,110.72559282183647
ref_and_query_diff,cpu_pil,tensor_to_threshold_ms,35.50362953802153,28.676251880824566,109.25728362053633,113.79268765449524
ref_and_query_diff,cpu_pil,decoded_image_to_threshold_ms,76.52889595424034,48.43454249203205,133.81185680627823,141.12428203225136
ref_and_query_diff,gpu_tensor_current,preprocess_total_ms,21.442759823890366,5.724359303712845,79.61537037044762,84.19253956526518
ref_and_query_diff,gpu_tensor_current,tensor_to_threshold_ms,34.267480736028176,28.714784421026707,108.54545198380947,113.86875528842211
ref_and_query_diff,gpu_tensor_current,decoded_image_to_threshold_ms,55.71024055991854,35.327937453985214,113.55065032839775,120.19830476492643
ref_and_query_diff,gpu_tensor_torchvision_aa_true,preprocess_total_ms,11.259213200181115,5.469623953104019,73.9695392549038,84.57718137651682
ref_and_query_diff,gpu_tensor_torchvision_aa_true,tensor_to_threshold_ms,33.011588819172914,28.670220635831356,82.90217239409586,116.19595065712929
ref_and_query_diff,gpu_tensor_torchvision_aa_true,decoded_image_to_threshold_ms,44.27080201935403,34.39299575984478,109.95637010782957,124.44704491645098
ref_and_query_diff,gpu_tensor_torchvision_aa_false,preprocess_total_ms,9.371707478196036,5.012513138353825,52.83257998526009,89.90572951734066
ref_and_query_diff,gpu_tensor_torchvision_aa_false,tensor_to_threshold_ms,35.07243071739771,28.715145774185658,108.28311778604984,114.50305860489607
ref_and_query_diff,gpu_tensor_torchvision_aa_false,decoded_image_to_threshold_ms,44.444138195593744,33.78647193312645,116.45509712398052,122.9816721752286
ref_and_query_diff,gpu_tensor_uint8_aa_true,preprocess_total_ms,9.460236451455525,4.923513159155846,62.41953819990157,135.9905879944563
ref_and_query_diff,gpu_tensor_uint8_aa_true,tensor_to_threshold_ms,35.469528785621634,28.674032539129257,108.83288346230984,118.52465569972992
ref_and_query_diff,gpu_tensor_uint8_aa_true,decoded_image_to_threshold_ms,44.929765237077156,33.640061505138874,114.44262266159058,164.63474091142416
