diagnostic_only,stage,alpha,backend,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn,selection_rule,constraint_satisfied
yes_not_main_table_update,S8,0.7,cpu_pil,2.6908111355727704,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,0.9728571428571429,0.9275360270824928,59,8,172,11,,True
yes_not_main_table_update,S8,0.7,gpu_tensor_uint8_aa_true,3.093979123685479,0.8545454545454545,0.6714285714285714,0.752,0.876,0.9692063492063493,0.9178206014585113,47,8,172,23,,True
yes_not_main_table_update,S8,0.5,cpu_pil,2.830344224402235,0.8833333333333333,0.7571428571428571,0.8153846153846154,0.904,0.9741269841269842,0.9313594200625611,53,7,173,17,,True
yes_not_main_table_update,S8,0.5,gpu_tensor_uint8_aa_true,2.5811863427624298,0.8793103448275862,0.7285714285714285,0.796875,0.896,0.9712698412698412,0.9234339495817436,51,7,173,19,,True
yes_not_main_table_update,S8,0.35,cpu_pil,1.804554345695791,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.928,0.9734920634920634,0.9289430562385682,60,8,172,10,,True
yes_not_main_table_update,S8,0.35,gpu_tensor_uint8_aa_true,1.6589988528330242,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,0.971111111111111,0.9219813178902235,59,8,172,11,,True
