alpha,cpu_f1,gpu_f1,delta_f1_gpu_minus_cpu,cpu_recall,gpu_recall,delta_recall_gpu_minus_cpu,cpu_auc_pr,gpu_auc_pr,delta_auc_pr_gpu_minus_cpu
0.7,0.8613138686131387,0.752,-0.10931386861313874,0.8428571428571429,0.6714285714285714,-0.17142857142857149,0.9275360270824928,0.9178206014585113,-0.009715425623981533
0.5,0.8153846153846154,0.796875,-0.018509615384615374,0.7571428571428571,0.7285714285714285,-0.02857142857142858,0.9313594200625611,0.9234339495817436,-0.007925470480817487
0.35,0.8695652173913043,0.8613138686131387,-0.00825134877816558,0.8571428571428571,0.8428571428571429,-0.014285714285714235,0.9289430562385682,0.9219813178902235,-0.0069617383483446815
