tf32,timing_mode,num_images,warmup,backend,median_ms,mean_ms,p90_ms,p95_ms,min_ms,max_ms,total_ms,launch_median_ms
off,synced,160,20,cpu_pil,18.225679639726877,18.23499124730006,18.44365056604147,18.468288192525506,17.974496819078922,18.55581346899271,2917.5985995680094,
off,pure,160,20,cpu_pil,18.147423694608733,18.147423694608733,,,,,2903.5877911373973,18.1269571185112
on,synced,160,20,cpu_pil,11.293055023998022,11.345884785987437,11.317578237503767,11.330119241029024,11.275462806224823,18.86250637471676,1815.3415657579899,
on,pure,160,20,cpu_pil,11.146708420710638,11.146708420710638,,,,,1783.473347313702,11.14288019016385
