method,stage,status,policy,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn,time_total_ms,reason,calib_precision,calib_recall,calib_f1,calib_accuracy,calib_fpr,constraint_satisfied,adp_center,adp_scale,ahl_center,ahl_scale
bridge_alpha_0.35,S5,ok,stage_fixed_recall_best_f1,0.35,1.7830212442567703,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,0.9803174603174603,0.9410750894911254,64,9,171,6,134.39977424173102,,0.7166666666666667,0.8775510204081632,0.7889908256880733,0.8456375838926175,0.17,True,1.340867817401886,0.13186451264619828,0.429562465,0.070346671668
bridge_alpha_0.35,S6,ok,stage_fixed_recall_best_f1,0.35,2.17605756975357,0.875,0.9,0.8873239436619719,0.936,0.9825396825396826,0.9470662908317473,63,9,171,7,138.26374568405132,,0.7241379310344828,0.8571428571428571,0.7850467289719627,0.8456375838926175,0.16,True,1.340867817401886,0.13186451264619828,0.49958985,0.07760039595000003
bridge_alpha_0.35,S7,ok,stage_fixed_recall_best_f1,0.35,2.4641474573623876,0.8939393939393939,0.8428571428571429,0.8676470588235294,0.928,0.9811111111111112,0.942827778834465,59,7,173,11,132.8211997083925,,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.8657718120805369,0.1,True,1.340867817401886,0.13186451264619828,0.42910389000000004,0.05694503513999999
bridge_alpha_0.70,S8,ok,stage_fixed_recall_best_f1,0.7,2.9384913785918236,0.8923076923076924,0.8285714285714286,0.8592592592592593,0.924,0.9761111111111112,0.9276070419018873,58,7,173,12,138.80996960218138,,0.7708333333333334,0.7551020408163265,0.7628865979381444,0.8456375838926175,0.11,True,1.340867817401886,0.13186451264619828,0.39687883999999995,0.06812465457
