method,stage,policy,status,reason,accuracy,precision,recall,time_ms,f1,tp,fp,tn,fn,auc_roc,auc_pr,threshold,calib_threshold,calib_precision,calib_recall,calib_f1,calib_fpr,source_policy,selection_rule,policy_family,metrics_json,score_file
AHL_plain_ADPretrain,S1,strategy_stage_v3,ok,,0.6602316602316602,0.47058823529411764,0.9113924050632911,3668855.651602149,0.6206896551724137,72,81,99,7,0.8771448663853727,0.8124572744182512,0.0767723023891449,0.0767723023891449,0.3956043956043956,0.9,0.549618320610687,,recall_at_95_highest_threshold,highest_threshold_with_recall_floor,strategy_stage_v3_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S1/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S1/metrics/scores.csv
AHL_plain_ADPretrain,S1,recall_at_95_highest_threshold,ok,,0.6602316602316602,0.47058823529411764,0.9113924050632911,3668855.651602149,0.6206896551724137,72,81,99,7,0.8771448663853727,0.8124572744182512,0.0767723023891449,0.0767723023891449,0.3956043956043956,0.9,0.549618320610687,,,highest_threshold_with_recall_floor,recall_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S1/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S1/metrics/scores.csv
AHL_plain_ADPretrain,S1,recall_at_90_highest_threshold,ok,,0.8571428571428571,0.7916666666666666,0.7215189873417721,3668855.651602149,0.7549668874172185,57,15,165,22,0.8771448663853727,0.8124572744182512,0.15859583020210266,0.15859583020210266,0.6071428571428571,0.85,0.7083333333333333,,,highest_threshold_with_recall_floor,recall_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S1/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S1/metrics/scores.csv
AHL_plain_ADPretrain,S1,strategy_balanced_f1,ok,,0.8455598455598455,0.8679245283018868,0.5822784810126582,3668855.651602149,0.6969696969696969,46,7,173,33,0.8771448663853727,0.8124572744182512,0.24556896090507507,0.24556896090507507,0.7941176470588235,0.675,0.7297297297297296,,,validation_best_f1,strategy_balanced,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S1/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S1/metrics/scores.csv
AHL_plain_ADPretrain,S2,production_normal_p95,ok,,0.8648648648648649,0.9074074074074074,0.620253164556962,3876124.412853271,0.7368421052631579,49,5,175,30,0.9431786216596343,0.8868944062818346,0.37846029065549364,0.37846029065549364,0.8529411764705882,0.725,0.7837837837837837,,,,production_normal_percentile,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/scores.csv
AHL_plain_ADPretrain,S2,strategy_stage_adaptive,ok,,0.3088803088803089,0.3062015503875969,1.0,3876124.412853271,0.46884272997032633,79,179,1,0,0.9431786216596343,0.8868944062818346,0.14985117316246033,0.14985117316246033,0.2857142857142857,1.0,0.4444444444444445,,strategy_recall_first_r95,min_threshold_with_recall_floor,strategy_stage_adaptive,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/scores.csv
AHL_plain_ADPretrain,S2,strategy_mild_stage_v2,ok,,0.8725868725868726,0.7555555555555555,0.8607594936708861,3876124.412853271,0.8047337278106509,68,22,158,11,0.9431786216596343,0.8868944062818346,0.2812008112668991,0.2812008112668991,0.5538461538461539,0.9,0.6857142857142857,0.29,mild_recall90_fpr20,fallback_max_f1_with_recall_floor,strategy_mild_stage_v2,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/scores.csv
AHL_plain_ADPretrain,S2,strategy_stage_v3,ok,,0.8725868725868726,0.7555555555555555,0.8607594936708861,3876124.412853271,0.8047337278106509,68,22,158,11,0.9431786216596343,0.8868944062818346,0.2812008112668991,0.2812008112668991,0.5538461538461539,0.9,0.6857142857142857,,recall_at_95_highest_threshold,highest_threshold_with_recall_floor,strategy_stage_v3_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/scores.csv
AHL_plain_ADPretrain,S2,recall_at_95_highest_threshold,ok,,0.8725868725868726,0.7555555555555555,0.8607594936708861,3876124.412853271,0.8047337278106509,68,22,158,11,0.9431786216596343,0.8868944062818346,0.2812008112668991,0.2812008112668991,0.5538461538461539,0.9,0.6857142857142857,,,highest_threshold_with_recall_floor,recall_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/scores.csv
AHL_plain_ADPretrain,S2,recall_at_90_highest_threshold,ok,,0.8918918918918919,0.8805970149253731,0.7468354430379747,3876124.412853271,0.8082191780821918,59,8,172,20,0.9431786216596343,0.8868944062818346,0.3268994316458702,0.3268994316458702,0.723404255319149,0.85,0.7816091954022989,,,highest_threshold_with_recall_floor,recall_highest_threshold,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/metrics.json,/ghome/huangjd/code/detected/adpretrain_bridge/output/20260519_ahl_plain_fixed_180_79_stage_v3/stages/S2/metrics/scores.csv
