group,phase,mean_ms,median_ms,p90_ms,p95_ms,max_ms
gpu_retrain,gpu_resize_ms,0.3082936629652977,0.29359571635723114,0.3525802865624428,0.364912673830986,0.5817338824272156
gpu_retrain,gpu_center_crop_ms,0.04312656819820404,0.03897491842508316,0.05335044115781784,0.05794204771518706,0.14565885066986084
gpu_retrain,gpu_normalize_ms,0.04612025329653097,0.03862753510475159,0.058119744062423706,0.06317291408777236,0.17106160521507263
gpu_retrain,encoder_ms,0.0,0.0,0.0,0.0,0.0
gpu_retrain,adp_reference_match_ms,0.0,0.0,0.0,0.0,0.0
gpu_retrain,residual_ms,0.0,0.0,0.0,0.0,0.0
gpu_retrain,projector_ms,0.0,0.0,0.0,0.0,0.0
gpu_retrain,compress_ms,0.0,0.0,0.0,0.0,0.0
gpu_retrain,ahl_reference_attach_ms,0.0,0.0,0.0,0.0,0.0
gpu_retrain,ahl_forward_ms,0.0,0.0,0.0,0.0,0.0
gpu_retrain,score_postprocess_ms,0.0,0.0,0.0,0.0,0.0
gpu_retrain,threshold_ms,0.0,0.0,0.0,0.0,0.0
