group,threshold,calib_acc,calib_p,calib_r,calib_f1,test_acc,test_p,test_r,test_f1,auc_roc,auc_pr,tp,fp,tn,fn
cpu_baseline,0.5757039785385132,0.7718120805369127,0.7272727272727273,0.4897959183673469,0.5853658536585367,0.916,0.9152542372881356,0.7714285714285715,0.8372093023255813,0.9611904761904763,0.9166898936093516,54,5,175,16
gpu_no_retrain,0.5823673605918884,0.785234899328859,0.7741935483870968,0.4897959183673469,0.6,0.904,0.96,0.6857142857142857,0.7999999999999999,0.963015873015873,0.9097463547396321,48,2,178,22
gpu_retrain,0.42649710178375244,0.7114093959731543,0.625,0.30612244897959184,0.4109589041095891,0.84,0.8947368421052632,0.4857142857142857,0.6296296296296297,0.870952380952381,0.7924542534784563,34,4,176,36
