stage,primary_policy,precision,recall,f1,accuracy,auc_roc,auc_pr,inference_time_ms,calib_normal,calib_anomaly,test_normal,test_anomaly
S0,normal_p97_5,0.8666666666666667,0.21666666666666667,0.3466666666666666,0.755,0.7888095238095238,0.6907361698389399,9.640090415875116,10,0,140,60
S2,normal_p97_5,0.8461538461538461,0.7333333333333333,0.7857142857142856,0.88,0.9022619047619048,0.8013687040617475,5.873165130615234,30,0,140,60
S4,calib_best_f1,0.7222222222222222,0.8666666666666667,0.7878787878787877,0.86,0.9345238095238095,0.8534256566758364,10.342417309681574,60,2,140,60
S6,calib_best_f1,0.8571428571428571,0.6,0.7058823529411764,0.85,0.8948809523809523,0.806005372436355,7.8507159650325775,100,8,140,60
S8,calib_best_f1,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.83,0.8772619047619048,0.7751383517166376,5.8066970606644945,112,28,140,60
